district,metro,state,entity_type,ai_policy_status,safety_ai_status,assignment_framework,teacher_pd
"City Schools of Decatur","Atlanta","GA","traditional","principles_only","none","teacher_discretion","ad_hoc"
"Marietta City Schools","Atlanta","GA","traditional","resolution","none","traffic_light","ad_hoc"
"DeKalb County School District","Atlanta","GA","traditional","drafting_IFBG","none","teacher_discretion","unknown"
"Atlanta Public Schools","Atlanta","GA","traditional","guidance","procedure_handbook","teacher_discretion","ad_hoc"
"Fulton County Schools","Atlanta","GA","traditional","board_policy","board_policy","teacher_discretion","cohort"
"Gwinnett County Public Schools","Atlanta","GA","traditional","guidance","procedure_handbook","teacher_discretion","cohort"
"Cobb County School District","Atlanta","GA","traditional","procedure_handbook","procedure_handbook","teacher_discretion","ad_hoc"
"Cherokee County School District","Atlanta","GA","traditional","board_policy","guidance","traffic_light","unknown"
"Forsyth County Schools","Atlanta","GA","traditional","guidance","guidance","citation_required","ad_hoc"
"Clayton County Public Schools","Atlanta","GA","traditional","guidance","procedure_handbook","teacher_discretion","required"
"Seattle Public Schools","Seattle","WA","traditional","procedure_handbook","unknown","teacher_discretion","cohort"
"Bellevue School District","Seattle","WA","traditional","procedure_handbook","unknown","teacher_discretion","unknown"
"Highline Public Schools","Seattle","WA","traditional","guidance","unknown","teacher_discretion","cohort"
"Lake Washington School District","Seattle","WA","traditional","drafting_guidance","unknown","unknown","unknown"
"Issaquah School District","Seattle","WA","traditional","procedure_handbook","unknown","teacher_discretion","ad_hoc"
"Rockdale County Public Schools","Atlanta","GA","traditional","none","none","unknown","unknown"
"Henry County Schools","Atlanta","GA","traditional","board_policy","procedure_handbook","teacher_discretion","unknown"
"Douglas County School System","Atlanta","GA","traditional","guidance","none","citation_required","ad_hoc"
"Paulding County School District","Atlanta","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Coweta County School System","Atlanta","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Bartow County School System","Atlanta","GA","traditional","procedure_handbook","none","unknown","unknown"
"Walton County School District","Atlanta","GA","traditional","unknown","none","unknown","unknown"
"Newton County School System","Atlanta","GA","traditional","procedure_handbook","none","citation_required","unknown"
"Barrow County School System","Atlanta","GA","traditional","none","none","unknown","unknown"
"Jackson County School System","Jefferson","GA","traditional","guidance","guidance","citation_required","unknown"
"Carroll County Schools","Atlanta","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Griffin-Spalding County School System","Atlanta","GA","traditional","none","none","unknown","unknown"
"Fayette County Public Schools","Atlanta","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Butts County School System","Atlanta","GA","traditional","guidance","none","teacher_discretion","unknown"
"Jasper County Charter System","Atlanta","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Heard County School District","Atlanta","GA","traditional","none","none","unknown","unknown"
"Habersham County Schools","Cornelia","GA","traditional","none","none","unknown","none"
"White County School System","Rural NE Georgia","GA","traditional","none","none","unknown","unknown"
"Lumpkin County Schools","Atlanta","GA","traditional","procedure_handbook","procedure_handbook","teacher_discretion","required"
"Dawson County School System","Atlanta","GA","traditional","guidance","guidance","traffic_light","unknown"
"Pickens County Schools","Atlanta","GA","traditional","none","none","unknown","unknown"
"Haralson County Schools","Atlanta","GA","traditional","guidance","none","unknown","unknown"
"Troup County School System","LaGrange","GA","traditional","procedure_handbook","none","teacher_discretion","ad_hoc"
"Pike County School District","Atlanta","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Murray County Schools","Dalton","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Gilmer County Schools","Rural North Georgia","GA","traditional","none","none","unknown","ad_hoc"
"Fannin County Schools","Rural North Georgia","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Union County Schools","Rural NE Georgia","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Towns County Schools","Rural NE Georgia","GA","traditional","guidance","guidance","teacher_discretion","ad_hoc"
"Rabun County Schools","Rural NE Georgia","GA","traditional","none","none","unknown","none"
"Banks County Schools","Rural NE Georgia","GA","traditional","none","none","unknown","unknown"
"Franklin County School System","Rural NE Georgia","GA","traditional","none","none","unknown","none"
"Stephens County School System","Toccoa","GA","traditional","none","none","unknown","unknown"
"Hart County Charter System","Rural NE Georgia","GA","traditional","procedure_handbook","none","teacher_discretion","unknown"
"Elbert County School District","Rural East Georgia","GA","traditional","guidance","none","traffic_light","required"
"Madison County Schools","Athens","GA","traditional","none","none","unknown","unknown"
