lea_name,lea_type,nces_id,gadoe_id_if_known,county,official_website_if_known,in_districts_csv,districts_csv_name_match,priority_note,source_urls
Appling County Schools,county,1300060,601,Appling,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Atkinson County Schools,county,1300090,602,Atkinson,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Bacon County Schools,county,1300150,603,Bacon,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Baker County Schools,county,1300180,604,Baker,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Baldwin County Schools,charter_system,1300210,605,Baldwin,https://www.baldwincountyschoolsga.org/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Banks County Schools,charter_system,1300240,606,Banks,https://www.banks.k12.ga.us/,yes,Banks County Schools,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Barrow County School System,charter_system,1300290,607,Barrow,https://www.barrow.k12.ga.us/,yes,Barrow County School System,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Bartow County School System,county,1300330,608,Bartow,,yes,Bartow County School System,already_in_districts_csv,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Ben Hill County Schools,charter_system,1300360,609,Ben Hill,https://www.ben-hill.k12.ga.us/,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
Berrien County Schools,county,1300390,610,Berrien,,no,,,https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form|https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://gadoe.org/policy/district-flexibility/|https://charter-system.org/purpose/|https://gosa.georgia.gov/document/publication/system-flexibility-updatepdf/download|https://www2.census.gov/geo/docs/reference/codes2020/schdist/st13_ga_schdist2020.txt
