school_name,nces_school_id,district,metro,state,entity_type,school_level,school_url,main_office_phone,main_office_email,principal_name,principal_title,principal_email,principal_phone,counselor_name,counselor_email,media_specialist_name,media_specialist_email,coach_name,coach_email,coach_role,sources,people_last_verified_at,status
Altamaha Elementary School,130006000011,Appling County Schools,Rural SE Georgia,GA,traditional,elementary,,(912)367-3713,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Appling County Elementary School,130006000007,Appling County Schools,Rural SE Georgia,GA,traditional,elementary,,(912)367-8640,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Appling County High School,130006000010,Appling County Schools,Rural SE Georgia,GA,traditional,high,,(912)367-8610,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Appling County Middle School,130006000009,Appling County Schools,Rural SE Georgia,GA,traditional,middle,,(912)367-8630,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Fourth District Elementary School,130006000008,Appling County Schools,Rural SE Georgia,GA,traditional,elementary,,(912)367-3250,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Atkinson County High School,130009000015,Atkinson County Schools,Douglas,GA,traditional,high,,(912)422-3267,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Atkinson County Middle School,130009003996,Atkinson County Schools,Douglas,GA,traditional,middle,,(912)422-3267,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Pearson Elementary School,130009000013,Atkinson County Schools,Douglas,GA,traditional,elementary,,(912)422-3882,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Willacoochee Elementary School,130009001965,Atkinson County Schools,Douglas,GA,traditional,elementary,,(912)534-5302,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
Atlanta Classical Academy,130012004145,Atlanta Public Schools,Atlanta,GA,traditional,other,,(404)369-3500,,,,,,,,,,,,,https://educationdata.urban.org/api/v1/schools/ccd/directory/2023/?fips=13|https://nces.ed.gov/ccd/|https://app3.doe.k12.ga.us/ows-bin/owa/main_pack_fcl099.entry_form,,stub
