zip,state,district,metro,entity_type,match_method,confidence,n_schools_in_zip,notes,source_urls,last_verified_at
30002,GA,DeKalb County School District,Atlanta,traditional,ccd_school_zip,high,4,,https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/,2026-09-07
30004,GA,Cherokee County School District,Atlanta,traditional,census_zcta_lea,medium,,"no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also Forsyth County Schools, Fulton County Schools; census land≈9.02 sq mi (16% of LEA land in ZCTA)",https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30004,GA,Forsyth County Schools,Atlanta,traditional,ccd_school_zip,high,4,"multi-LEA ZCTA; also Cherokee County School District, Fulton County Schools; census land≈9.28 sq mi (16% of LEA land in ZCTA)",https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30004,GA,Fulton County Schools,Atlanta,traditional,ccd_school_zip,high,9,"multi-LEA ZCTA; also Cherokee County School District, Forsyth County Schools; census land≈39.68 sq mi (68% of LEA land in ZCTA)",https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30005,GA,Forsyth County Schools,Atlanta,traditional,census_zcta_lea,medium,,no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also Fulton County Schools; census land≈4.70 sq mi (30% of LEA land in ZCTA),https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30005,GA,Fulton County Schools,Atlanta,traditional,ccd_school_zip,high,4,multi-LEA ZCTA; also Forsyth County Schools; census land≈11.09 sq mi (70% of LEA land in ZCTA),https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30008,GA,Cobb County School District,Atlanta,traditional,ccd_school_zip,high,2,multi-LEA ZCTA; also Marietta City Schools; census land≈8.10 sq mi (85% of LEA land in ZCTA),https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30008,GA,Marietta City Schools,Atlanta,traditional,ccd_school_zip,high,1,multi-LEA ZCTA; also Cobb County School District; census land≈1.44 sq mi (15% of LEA land in ZCTA),https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30009,GA,Fulton County Schools,Atlanta,traditional,ccd_school_zip,high,3,,https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/,2026-09-07
30011,GA,Barrow County School System,Atlanta,traditional,ccd_school_zip,high,2,multi-LEA ZCTA; also Gwinnett County Public Schools; census land≈19.68 sq mi (73% of LEA land in ZCTA),https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30011,GA,Gwinnett County Public Schools,Atlanta,traditional,ccd_school_zip,high,1,multi-LEA ZCTA; also Barrow County School System; census land≈7.18 sq mi (27% of LEA land in ZCTA),https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30012,GA,DeKalb County School District,Atlanta,traditional,census_zcta_lea,low,,"no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also Gwinnett County Public Schools, Rockdale County Public Schools, Walton County School District; census land≈0.26 sq mi (1% of LEA land in ZCTA); tiny land sliver — boundary edge; verify before routing parents solely here",https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30012,GA,Gwinnett County Public Schools,Atlanta,traditional,census_zcta_lea,low,,"no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also DeKalb County School District, Rockdale County Public Schools, Walton County School District; census land≈0.08 sq mi (0% of LEA land in ZCTA); tiny land sliver — boundary edge; verify before routing parents solely here",https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30012,GA,Rockdale County Public Schools,Atlanta,traditional,ccd_school_zip,high,5,"multi-LEA ZCTA; also DeKalb County School District, Gwinnett County Public Schools, Walton County School District; census land≈40.91 sq mi (96% of LEA land in ZCTA)",https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30012,GA,Walton County School District,Atlanta,traditional,census_zcta_lea,medium,,"no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also DeKalb County School District, Gwinnett County Public Schools, Rockdale County Public Schools; census land≈1.20 sq mi (3% of LEA land in ZCTA); small land share in ZCTA — possible city/county edge",https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30013,GA,Newton County School System,Atlanta,traditional,census_zcta_lea,medium,,no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also Rockdale County Public Schools; census land≈1.44 sq mi (5% of LEA land in ZCTA); small land share in ZCTA — possible city/county edge,https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30013,GA,Rockdale County Public Schools,Atlanta,traditional,ccd_school_zip,high,5,multi-LEA ZCTA; also Newton County School System; census land≈26.92 sq mi (95% of LEA land in ZCTA),https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30014,GA,Jasper County Charter System,Atlanta,traditional,census_zcta_lea,medium,,"no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also Newton County School System, Walton County School District; census land≈1.16 sq mi (1% of LEA land in ZCTA); small land share in ZCTA — possible city/county edge",https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30014,GA,Newton County School System,Atlanta,traditional,ccd_school_zip,high,10,"multi-LEA ZCTA; also Jasper County Charter System, Walton County School District; census land≈93.59 sq mi (78% of LEA land in ZCTA)",https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30014,GA,Walton County School District,Atlanta,traditional,ccd_school_zip,high,1,"multi-LEA ZCTA; also Jasper County Charter System, Newton County School System; census land≈25.91 sq mi (21% of LEA land in ZCTA)",https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30016,GA,Newton County School System,Atlanta,traditional,ccd_school_zip,high,10,multi-LEA ZCTA; also Rockdale County Public Schools; census land≈90.49 sq mi (100% of LEA land in ZCTA),https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30016,GA,Rockdale County Public Schools,Atlanta,traditional,census_zcta_lea,low,,no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also Newton County School System; census land≈0.33 sq mi (0% of LEA land in ZCTA); tiny land sliver — boundary edge; verify before routing parents solely here,https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30017,GA,Gwinnett County Public Schools,Atlanta,traditional,ccd_school_zip,high,5,,https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/,2026-09-07
30018,GA,Walton County School District,Atlanta,traditional,census_zcta_lea,medium,,no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; census land≈0.56 sq mi in ZCTA; small land share in ZCTA — possible city/county edge,https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30019,GA,Gwinnett County Public Schools,Atlanta,traditional,ccd_school_zip,high,8,multi-LEA ZCTA; also Walton County School District; census land≈45.04 sq mi (96% of LEA land in ZCTA),https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30019,GA,Walton County School District,Atlanta,traditional,census_zcta_lea,medium,,no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also Gwinnett County Public Schools; census land≈1.84 sq mi (4% of LEA land in ZCTA); small land share in ZCTA — possible city/county edge,https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30021,GA,DeKalb County School District,Atlanta,traditional,ccd_school_zip,high,3,,https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/,2026-09-07
30022,GA,Fulton County Schools,Atlanta,traditional,ccd_school_zip,high,12,,https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/,2026-09-07
30024,GA,Forsyth County Schools,Atlanta,traditional,ccd_school_zip,high,5,"multi-LEA ZCTA; also Fulton County Schools, Gwinnett County Public Schools; census land≈13.34 sq mi (32% of LEA land in ZCTA)",https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30024,GA,Fulton County Schools,Atlanta,traditional,census_zcta_lea,medium,,"no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also Forsyth County Schools, Gwinnett County Public Schools; census land≈1.15 sq mi (3% of LEA land in ZCTA); small land share in ZCTA — possible city/county edge",https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30024,GA,Gwinnett County Public Schools,Atlanta,traditional,ccd_school_zip,high,11,"multi-LEA ZCTA; also Forsyth County Schools, Fulton County Schools; census land≈27.17 sq mi (65% of LEA land in ZCTA)",https://educationdata.urban.org/api/v1/school-districts/ccd/directory/|https://nces.ed.gov/ccd/|https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
30025,GA,Morgan County Schools,Atlanta,traditional,census_zcta_lea,medium,,"no open CCD school campus in this ZIP for this LEA; ZCTA∩LEA land from NCES EDGE GRF24; multi-LEA ZCTA; also Newton County School System, Social Circle City Schools, Walton County School District; census land≈0.72 sq mi (1% of LEA land in ZCTA); small land share in ZCTA — possible city/county edge",https://nces.ed.gov/programs/edge/Geographic/RelationshipFiles|https://nces.ed.gov/programs/edge/data/GRF24.zip,2026-09-07
